"E1","E2","E3","E4","E5","E6"
"1.06428","1.0551","2.13122","2.12707","1.04943","2.12077"
"1.06707","1.06358","2.13876","2.1515","1.046","2.106"
"1.05858","1.07177","2.1149","2.13488","1.04119","2.11355"
"1.05946","1.05195","2.13784","2.13314","1.04514","2.10233"
"1.06412","1.06373","2.1279","2.13592","1.03703","2.1223"
"1.06381","1.06399","2.1388","2.12734","1.04686","2.11497"
"1.06231","1.05282","2.1417","2.14203","1.0366","2.10424"
"1.06972","1.10801","2.13002","2.15006","1.04468","2.11538"
"1.05656","1.05843","2.13117","2.15979","1.10162","2.15226"
"1.05075","1.05398","2.11929","2.13911","1.04706","2.10219"
"1.0969","1.1472","2.24947","2.15384","1.11026","2.12423"
"1.06948","1.07223","2.13655","2.15737","1.04832","2.11051"
"1.06238","1.05752","2.13289","2.15356","1.05424","2.12044"
"1.06272","1.13426","2.14836","2.20574","1.12645","2.53762"
"1.06272","1.05729","2.16471","2.13482","1.04521","2.1191"
"1.06153","1.0642","2.15099","2.12778","1.03963","2.12532"
"1.06377","1.11484","2.2667","2.22953","1.12809","2.19404"
"1.06257","1.06741","2.13411","2.13711","1.04695","2.12056"
"1.07123","1.06875","2.14861","2.14581","1.04565","2.12513"
